cell_id,center_x,center_y,action
0,678863.8459204244,5714083.788334359,DROP
1,562863.8459204244,5653083.788334359,KEEP
2,573863.8459204244,5608083.788334359,DROP
3,568863.8459204244,5692083.788334359,KEEP
4,681863.8459204244,5737083.788334359,DROP
5,697863.8459204244,5661083.788334359,DROP
6,518863.84592042456,5659083.788334359,DROP
7,665863.8459204244,5683083.788334359,KEEP
8,679863.8459204244,5702083.788334359,DROP
9,610863.8459204244,5686083.788334359,KEEP
10,674863.8459204244,5713083.788334359,DROP
11,655863.8459204244,5647083.788334359,KEEP
12,701863.8459204244,5658083.788334359,DROP
13,619863.8459204244,5696083.788334359,KEEP
14,649863.8459204244,5749083.788334359,KEEP
15,668863.8459204244,5679083.788334359,KEEP
16,569863.8459204244,5621083.788334359,KEEP
17,621863.8459204244,5739083.788334359,KEEP
18,550863.8459204244,5752083.788334359,KEEP
19,652863.8459204244,5729083.788334359,KEEP
20,582863.8459204244,5729083.788334359,KEEP
21,601863.8459204244,5746083.788334359,KEEP
22,540863.8459204244,5662083.788334359,KEEP
23,659863.8459204244,5677083.788334359,KEEP
24,569863.8459204244,5657083.788334359,KEEP
25,552863.8459204244,5653083.788334359,KEEP
26,591863.8459204244,5616083.788334359,DROP
27,584863.8459204244,5692083.788334359,KEEP
28,681863.8459204244,5735083.788334359,DROP
29,669863.8459204244,5746083.788334359,KEEP
30,548863.8459204244,5727083.788334359,KEEP
31,612863.8459204244,5629083.788334359,KEEP
32,675863.8459204244,5736083.788334359,DROP
33,602863.8459204244,5723083.788334359,KEEP
34,692863.8459204244,5649083.788334359,DROP
35,594863.8459204244,5691083.788334359,KEEP
36,637863.8459204244,5636083.788334359,KEEP
37,611863.8459204244,5637083.788334359,KEEP
38,647863.8459204244,5663083.788334359,KEEP
39,536863.8459204244,5671083.788334359,KEEP
40,692863.8459204244,5736083.788334359,DROP
41,519863.84592042456,5638083.788334359,DROP
42,549863.8459204244,5699083.788334359,KEEP
43,613863.8459204244,5748083.788334359,KEEP
44,651863.8459204244,5670083.788334359,KEEP
45,576863.8459204244,5628083.788334359,KEEP
46,644863.8459204244,5641083.788334359,KEEP
47,648863.8459204244,5609083.788334359,DROP
48,664863.8459204244,5724083.788334359,KEEP
49,557863.8459204244,5681083.788334359,KEEP
50,658863.8459204244,5634083.788334359,KEEP
51,623863.8459204244,5649083.788334359,KEEP
52,629863.8459204244,5712083.788334359,KEEP
53,627863.8459204244,5629083.788334359,KEEP
54,700863.8459204244,5745083.788334359,DROP
55,666863.8459204244,5734083.788334359,KEEP
56,530863.8459204244,5664083.788334359,KEEP
57,595863.8459204244,5733083.788334359,KEEP
58,551863.8459204244,5656083.788334359,KEEP
59,621863.8459204244,5701083.788334359,KEEP
60,613863.8459204244,5759083.788334359,KEEP
61,591863.8459204244,5673083.788334359,KEEP
62,593863.8459204244,5614083.788334359,DROP
63,625863.8459204244,5681083.788334359,KEEP
64,608863.8459204244,5752083.788334359,KEEP
65,608863.8459204244,5653083.788334359,KEEP
66,572863.8459204244,5749083.788334359,KEEP
67,637863.8459204244,5692083.788334359,KEEP
68,684863.8459204244,5674083.788334359,DROP
69,551863.8459204244,5696083.788334359,KEEP
70,613863.8459204244,5667083.788334359,KEEP
71,596863.8459204244,5663083.788334359,KEEP
72,521863.84592042456,5742083.788334359,DROP
73,547863.8459204244,5620083.788334359,KEEP
74,520863.84592042456,5603083.788334359,DROP
75,542863.8459204244,5678083.788334359,KEEP
76,525863.8459204244,5683083.788334359,DROP
77,541863.8459204244,5602083.788334359,DROP
78,675863.8459204244,5723083.788334359,DROP
79,556863.8459204244,5622083.788334359,KEEP
80,659863.8459204244,5642083.788334359,KEEP
81,546863.8459204244,5659083.788334359,KEEP
82,637863.8459204244,5744083.788334359,KEEP
83,535863.8459204244,5711083.788334359,KEEP
84,622863.8459204244,5740083.788334359,KEEP
85,591863.8459204244,5748083.788334359,KEEP
86,677863.8459204244,5709083.788334359,DROP
87,686863.8459204244,5738083.788334359,DROP
88,667863.8459204244,5703083.788334359,KEEP
89,540863.8459204244,5682083.788334359,KEEP
