filename,r2,rmse,season,fractional_forest_cover,condition,region,checkpoint_name,month
LC09_20220601_FSC0_62.112079200770296_-127.29199586477529.tif,0.0,0.0066150510683655,late,0.7834,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_62.166221170268216_-128.57247850885486.tif,0.0,0.0114954179152846,late,0.5997,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_62.18421532808711_-127.47028563086914.tif,0.0,0.0002126587787643,late,0.8651,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_62.51065455503091_-126.62859103284484.tif,0.0,0.0007124586263671,late,0.1318,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_63.009966293716010_-126.41165449350738.tif,0.0,0.0005193972028791,late,0.2485,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_63.35048562984995_-125.15032873232323.tif,0.0,0.0003491138340905,late,0.5295,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_63.39721054291927_-128.8152481958677.tif,0.0,0.0157251078635454,late,0.6741,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_63.40509348262548_-125.21663473896167.tif,0.0,0.0006803872529417,late,0.2109,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_63.59580179781564_-126.46292081098139.tif,0.0,0.0001372877886751,late,0.9284,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC0_63.66577994109205000_-126.75110469701099.tif,0.0,0.0811560228466987,late,0.1358,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.04035087293904_-128.04657542362335.tif,0.0,0.0006872409721836,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.119464514344465_-127.06124751576114.tif,0.0,0.002806648844853,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.1638737182861_-126.18671681942135.tif,0.0,0.0209111720323562,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.346168982088685_-127.21285458268186.tif,0.0,0.0006205027457326,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.46425075924468_-127.23135922918433.tif,0.0,0.0061698774807155,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.74117720455269_-127.83799399489281.tif,0.0,0.0006857416592538,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.756773342141045_-126.3596412477801.tif,0.0,0.0011337398318573,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.763096768181526_-126.38382543543841.tif,0.0,0.0098715145140886,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.94186672254656_-127.74198920487426.tif,0.0,0.0004706861509475,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC100_62.98155974088732_-129.1812839780114.tif,0.0,0.0050739562138915,late,0.0656,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC11_62.63471586863044_-125.60088963706427.tif,0.6594351989183108,0.162527859210968,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC11_63.32032164092958_-126.04150207190968.tif,0.6755949068653042,0.17327781021595,late,0.002,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC12_62.76188926577228_-126.75804224443428.tif,0.91162142227487,0.093669556081295,late,0.583,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC14_62.75962704337051_-126.45118543835494.tif,0.89525393413064,0.1071628257632255,late,0.0079,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC14_62.85107355059424_-127.89119491873375.tif,0.9688383136441132,0.0583137907087802,late,0.1116,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC15_62.86483846347481_-126.48187885824542.tif,0.9284251435815198,0.0911702141165733,late,0.2855,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC15_63.341571874835516_-125.86429482946468.tif,0.9257796604167596,0.0929141789674758,late,0.1044,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC16_63.84410150845041_-128.11493281028126.tif,0.9539977399042626,0.0756966695189476,late,0.0108,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC17_63.09006151172386_-127.083903991357230.tif,0.8553131060959537,0.131301462650299,late,0.015,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC18_63.13683650077514_-128.17155831369035.tif,0.9233009845663316,0.1014502868056297,late,0.0057,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC1_63.40546097802058_-128.49901105235705.tif,0.734966996573865,0.0545514672994613,late,0.112,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC21_62.60079623665862_-128.8644809559888.tif,0.2535802103537762,0.3104709684848785,late,0.9524,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC21_63.24235744270556_-127.81283534145288.tif,0.953008134409805,0.0829224064946174,late,0.0035,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC22_63.035131757740710_-127.23517215290404.tif,0.9170892071416638,0.1081469878554344,late,0.1244,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC24_63.03446072047654_-126.45127449774446.tif,0.9425342295090952,0.0994477123022079,late,0.1184,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC24_63.487319002344044_-127.41502807633758.tif,0.989303093023412,0.0430936403572559,late,0.0002,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC24_63.559652027699805_-126.69093771640617.tif,0.8514575929861656,0.1509027779102325,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC25_62.194405388787835_-128.8107666952586.tif,0.9625908850015152,0.078910581767559,late,0.4659,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC27_63.40558096694659_-127.93782702554353.tif,0.974564799540148,0.068971574306488,late,0.0404,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC28_62.340899548246554_-128.80665710169697.tif,0.9214926789789296,0.1167023703455925,late,0.2361,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC29_62.38861959350329_-128.7024634442372.tif,0.9207924914671224,0.1206444129347801,late,0.7266,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC31_62.71017722372829_-125.71804716855253.tif,0.9460771231053564,0.1003290265798568,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC31_62.99776555163588_-128.92861186842856.tif,0.7523482988693166,0.1813915222883224,late,0.0051,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC31_62.99844795941342_-126.83943297831881.tif,0.8714743790015294,0.1537580788135528,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC31_63.685237509104354_-126.98549920568828.tif,0.9338192731200584,0.1117397472262382,late,0.0002,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC32_62.45731807405706_-128.62155471685614.tif,0.9494796410327,0.0972417891025543,late,0.6485,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC33_62.68001100109032_-126.02202787352306.tif,0.94985526511495,0.0979894995689392,late,0.0023,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC35_62.26242751487222_-127.51799559061737.tif,0.930740537524305,0.1157762855291366,late,0.2432,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC35_63.27977439601566_-128.41162512048788.tif,0.8941276033650379,0.1387633830308914,late,0.3274,clear_1y17j4tq_with,rockies,seasons,06
